Episode,name,Title,Season,Date,isSerie
,"Merry Christmas, Drake & Josh","Merry Christmas, Drake & Josh",,03-mar.-16,FALSE
iBloop 2 Electric Bloopaloo,iCarly,iCarly Season 4 iBloop 2 Electric Bloopaloo,4,03-mar.-16,TRUE
iGet Banned,iCarly,iCarly Season 5 iGet Banned,5,03-mar.-16,TRUE
iBattle Chip,iCarly,iCarly Season 5 iBattle Chip,5,03-mar.-16,TRUE
,The Sum of All Fears,The Sum of All Fears,,03-mar.-16,FALSE
,Hanna,Hanna,,03-mar.-16,FALSE
,Mission Impossible III,Mission Impossible III,,03-mar.-16,FALSE
,From Paris with Love,From Paris with Love,,03-mar.-16,FALSE
,Crazy/Beautiful,Crazy/Beautiful,,02-mar.-16,FALSE
,Urban Legends Bloody Mary,Urban Legends Bloody Mary,,01-mar.-16,FALSE
iMust Have Locker 239,iCarly,iCarly Season 2 iMust Have Locker 239,2,28-feb.-16,TRUE
iWant My Website Back,iCarly,iCarly Season 2 iWant My Website Back,2,28-feb.-16,TRUE
iReunite With Missy,iCarly,iCarly Season 2 iReunite With Missy,2,28-feb.-16,TRUE
iDate a Bad Boy Part 1,iCarly,iCarly Season 2 iDate a Bad Boy Part 1,2,28-feb.-16,TRUE
iMake Sam Girlier,iCarly,iCarly Season 2 iMake Sam Girlier,2,28-feb.-16,TRUE
iRocked the Vote,iCarly,iCarly Season 2 iRocked the Vote,2,28-feb.-16,TRUE
iGo Nuclear,iCarly,iCarly Season 2 iGo Nuclear,2,27-feb.-16,TRUE
iLook Alike,iCarly,iCarly Season 2 iLook Alike,2,27-feb.-16,TRUE
iMeet Fred,iCarly,iCarly Season 2 iMeet Fred,2,27-feb.-16,TRUE
iGive Away a Car,iCarly,iCarly Season 2 iGive Away a Car,2,27-feb.-16,TRUE
iKiss,iCarly,iCarly Season 2 iKiss,2,27-feb.-16,TRUE
The Girl Who Cried Monster,Goosebumps,Goosebumps Season 1 The Girl Who Cried Monster,1,27-feb.-16,TRUE
,Midnight in Paris,Midnight in Paris,,27-feb.-16,FALSE
iLost My Mind,iCarly,iCarly Season 4 iLost My Mind,4,24-feb.-16,TRUE
iDate Sam & Freddie,iCarly,iCarly Season 4 iDate Sam & Freddie,4,24-feb.-16,TRUE
iGot a Hot Room,iCarly,iCarly Season 3 iGot a Hot Room,3,24-feb.-16,TRUE
iBloop,iCarly,iCarly Season 2 iBloop,2,24-feb.-16,TRUE
iSaved Your Life,iCarly,iCarly Season 2 iSaved Your Life,2,24-feb.-16,TRUE
iFix a Pop Star,iCarly,iCarly Season 2 iFix a Pop Star,2,24-feb.-16,TRUE
iSpeed Date,iCarly,iCarly Season 2 iSpeed Date,2,24-feb.-16,TRUE
,Horrid Henry The Movie,Horrid Henry The Movie,,24-feb.-16,FALSE
iCook,iCarly,iCarly Season 2 iCook,2,19-feb.-16,TRUE
,Quarantine,Quarantine,,19-feb.-16,FALSE
,Olympus Has Fallen,Olympus Has Fallen,,19-feb.-16,FALSE
,The Town,The Town,,18-feb.-16,FALSE
iRue the Day,iCarly,iCarly Season 1 iRue the Day,1,16-feb.-16,TRUE
iWant a World Record,iCarly,iCarly Season 1 iWant a World Record,1,16-feb.-16,TRUE
iWill Date Freddie,iCarly,iCarly Season 1 iWill Date Freddie,1,16-feb.-16,TRUE
,Joy Ride,Joy Ride,,16-feb.-16,FALSE
,The November Man,The November Man,,16-feb.-16,FALSE
,Tin Man Into the Storm,Tin Man Into the Storm,,16-feb.-16,FALSE
iScream on Halloween,iCarly,iCarly Season 1 iScream on Halloween,1,15-feb.-16,TRUE
iWanna Stay With Spencer,iCarly,iCarly Season 1 iWanna Stay With Spencer,1,15-feb.-16,TRUE
iLike Jake,iCarly,iCarly Season 1 iLike Jake,1,15-feb.-16,TRUE
,Circle,Circle,,11-feb.-16,FALSE
,Harold & Kumar Escape from Guantanamo Bay,Harold & Kumar Escape from Guantanamo Bay,,11-feb.-16,FALSE
,Starting Over,Starting Over,,11-feb.-16,FALSE
,"Big Mommas Like Father, Like Son","Big Mommas Like Father, Like Son",,09-feb.-16,FALSE
Thirty Foot Range,Video Game High School,Video Game High School Season 2 Thirty Foot Range,2,09-feb.-16,TRUE
Double XP Weekend,Video Game High School,Video Game High School Season 2 Double XP Weekend,2,09-feb.-16,TRUE
You Can't Stop a Sandwich,Video Game High School,Video Game High School Season 2 You Can't Stop a Sandwich,2,09-feb.-16,TRUE
Welcome to Varsity,Video Game High School,Video Game High School Season 2 Welcome to Varsity,2,09-feb.-16,TRUE
,The Sixth Sense,The Sixth Sense,,09-feb.-16,FALSE
,Stand by Me,Stand by Me,,09-feb.-16,FALSE
iChristmas,iCarly,iCarly Season 2 iChristmas,2,08-feb.-16,TRUE
,The Gift,The Gift,,07-feb.-16,FALSE
,Grave Encounters 2,Grave Encounters 2,,07-feb.-16,FALSE
,That Awkward Moment,That Awkward Moment,,07-feb.-16,FALSE
Episode 1,"Worst Year of My Life, Again","Worst Year of My Life, Again Season 1 Episode 1",1,06-feb.-16,TRUE
,The Code,The Code,,06-feb.-16,FALSE
iPie,iCarly,iCarly Season 2 iPie,2,05-feb.-16,TRUE
,The Captive,The Captive,,05-feb.-16,FALSE
,"Love, Rosie","Love, Rosie",,05-feb.-16,FALSE
It's All About the Game,Video Game High School,Video Game High School Season 1 It's All About the Game,1,05-feb.-16,TRUE
Everybody Comes to Brian's,Video Game High School,Video Game High School Season 1 Everybody Comes to Brian's,1,05-feb.-16,TRUE
The Long Arm of the Law,Video Game High School,Video Game High School Season 1 The Long Arm of the Law,1,04-feb.-16,TRUE
Any Game in the House,Video Game High School,Video Game High School Season 1 Any Game in the House,1,04-feb.-16,TRUE
Welcome to VGHS,Video Game High School,Video Game High School Season 1 Welcome to VGHS,1,04-feb.-16,TRUE
iHurt Lewbert,iCarly,iCarly Season 2 iHurt Lewbert,2,04-feb.-16,TRUE
iOwe You,iCarly,iCarly Season 2 iOwe You,2,04-feb.-16,TRUE
iStage an Intervention,iCarly,iCarly Season 2 iStage an Intervention,2,04-feb.-16,TRUE
iSaw Him First,iCarly,iCarly Season 2 iSaw Him First,2,04-feb.-16,TRUE
iToe Fat Cakes,iCarly,iCarly Season 4 iToe Fat Cakes,4,04-feb.-16,TRUE
,Paycheck,Paycheck,,04-feb.-16,FALSE
,Death at a Funeral,Death at a Funeral,,03-feb.-16,FALSE
,Bad Company,Bad Company,,02-feb.-16,FALSE
Taylor's DNA,Mortified,Mortified Season 1 Taylor's DNA,1,02-feb.-16,TRUE
,The Pool Boys,The Pool Boys,,02-feb.-16,FALSE
,About Cherry,About Cherry,,02-feb.-16,FALSE
,The Kings of Summer,The Kings of Summer,,01-feb.-16,FALSE
,The Way Way Back,The Way Way Back,,01-feb.-16,FALSE
iDo,iCarly,iCarly Season 3 iDo,3,14-Jan-16,TRUE
iSell Penny Tees,iCarly,iCarly Season 3 iSell Penny Tees,3,14-Jan-16,TRUE
iSam's Mom,iCarly,iCarly Season 3 iSam's Mom,3,14-Jan-16,TRUE
iLost My Head in Vegas,iCarly,iCarly Season 5 iLost My Head in Vegas,5,14-Jan-16,TRUE
iHalfoween,iCarly,iCarly Season 5 iHalfoween,5,14-Jan-16,TRUE
iPear Store,iCarly,iCarly Season 5 iPear Store,5,14-Jan-16,TRUE
iApril Fools,iCarly,iCarly Season 5 iApril Fools,5,14-Jan-16,TRUE
iOpen a Restaurant,iCarly,iCarly Season 5 iOpen a Restaurant,5,14-Jan-16,TRUE
iGo One Direction,iCarly,iCarly Season 5 iGo One Direction,5,13-Jan-16,TRUE
iMeet the First Lady,iCarly,iCarly Season 4 iMeet the First Lady,4,13-Jan-16,TRUE
iQ,iCarly,iCarly Season 4 iQ,4,13-Jan-16,TRUE
,Punisher War Zone,Punisher War Zone,,13-Jan-16,FALSE
iBeat the Heat,iCarly,iCarly Season 2 iBeat the Heat,2,13-Jan-16,TRUE
iPsycho Part 1,iCarly,iCarly Season 2 iPsycho Part 1,2,13-Jan-16,TRUE
iBelieve in Bigfoot,iCarly,iCarly Season 2 iBelieve in Bigfoot,2,11-Jan-16,TRUE
,Harriet the Spy Blog Wars,Harriet the Spy Blog Wars,,11-Jan-16,FALSE
,Street Kings,Street Kings,,10-Jan-16,FALSE
iPromote Tech-Foots,iCarly,iCarly Season 1 iPromote Tech-Foots,1,10-Jan-16,TRUE
iDont Want to Fight,iCarly,iCarly Season 1 iDont Want to Fight,1,10-Jan-16,TRUE
iHatch Chicks,iCarly,iCarly Season 1 iHatch Chicks,1,10-Jan-16,TRUE
iHate Sam's Boyfriend,iCarly,iCarly Season 1 iHate Sam's Boyfriend,1,10-Jan-16,TRUE
iHeart Art,iCarly,iCarly Season 1 iHeart Art,1,10-Jan-16,TRUE
,Our Idiot Brother,Our Idiot Brother,,09-Jan-16,FALSE
,Wanted,Wanted,,09-Jan-16,FALSE
iWon't Cancel the Show,iCarly,iCarly Season 2 iWon't Cancel the Show,2,28-Dec-15,TRUE
iStart a Fan War Part 2,iCarly,iCarly Season 3 iStart a Fan War Part 2,3,28-Dec-15,TRUE
iStart a Fan War Part 1,iCarly,iCarly Season 3 iStart a Fan War Part 1,3,28-Dec-15,TRUE
iThink They Kissed,iCarly,iCarly Season 2 iThink They Kissed,2,28-Dec-15,TRUE
iSpy a Mean Teacher,iCarly,iCarly Season 1 iSpy a Mean Teacher,1,28-Dec-15,TRUE
,Breakout,Breakout,,26-Dec-15,FALSE
,Atari Game Over,Atari Game Over,,26-Dec-15,FALSE
iAm Your Biggest Fan,iCarly,iCarly Season 1 iAm Your Biggest Fan,1,25-Dec-15,TRUE
iPromise Not to Tell,iCarly,iCarly Season 1 iPromise Not to Tell,1,25-Dec-15,TRUE
,Surviving Christmas,Surviving Christmas,,25-Dec-15,FALSE
iMove Out,iCarly,iCarly Season 2 iMove Out,2,24-Dec-15,TRUE
iSpace Out,iCarly,iCarly Season 2 iSpace Out,2,24-Dec-15,TRUE
iEnrage Gibby,iCarly,iCarly Season 2 iEnrage Gibby,2,24-Dec-15,TRUE
iWas a Pageant Girl,iCarly,iCarly Season 2 iWas a Pageant Girl,2,24-Dec-15,TRUE
iQuit iCarly Part 2,iCarly,iCarly Season 2 iQuit iCarly Part 2,2,24-Dec-15,TRUE
iQuit iCarly Part 1,iCarly,iCarly Season 2 iQuit iCarly Part 1,2,24-Dec-15,TRUE
iFind Lewbert's Lost Love,iCarly,iCarly Season 2 iFind Lewbert's Lost Love,2,24-Dec-15,TRUE
iHave My Principals,iCarly,iCarly Season 2 iHave My Principals,2,24-Dec-15,TRUE
iCarly Awards,iCarly,iCarly Season 2 iCarly Awards,2,24-Dec-15,TRUE
,The Task,The Task,,24-Dec-15,FALSE
iPity the Nevel,iCarly,iCarly Season 3 iPity the Nevel,3,23-Dec-15,TRUE
iHire an Idiot,iCarly,iCarly Season 3 iHire an Idiot,3,23-Dec-15,TRUE
,Los Roldán Episode 1,Los Roldán Episode 1,,22-Dec-15,FALSE
,Scary Movie,Scary Movie,,21-Dec-15,FALSE
,Scary Movie 2,Scary Movie 2,,20-Dec-15,FALSE
,Piranha DD,Piranha DD,,20-Dec-15,FALSE
iTwins,iCarly,iCarly Season 2 iTwins,2,19-Dec-15,TRUE
iTake on Dingo,iCarly,iCarly Season 2 iTake on Dingo,2,19-Dec-15,TRUE
iDate a Bad Boy Part 2,iCarly,iCarly Season 2 iDate a Bad Boy Part 2,2,19-Dec-15,TRUE
,Child's Play 2,Child's Play 2,,18-Dec-15,FALSE
iFight Shelby Marx Part 2,iCarly,iCarly Season 2 iFight Shelby Marx Part 2,2,18-Dec-15,TRUE
iFight Shelby Marx Part 1,iCarly,iCarly Season 2 iFight Shelby Marx Part 1,2,18-Dec-15,TRUE
,Begin Again,Begin Again,,17-Dec-15,FALSE
,How Do You Know,How Do You Know,,17-Dec-15,FALSE
,Takers,Takers,,17-Dec-15,FALSE
iGo to Japan Part 3,iCarly,iCarly Season 2 iGo to Japan Part 3,2,17-Dec-15,TRUE
iGo to Japan Part 2,iCarly,iCarly Season 2 iGo to Japan Part 2,2,17-Dec-15,TRUE
iGet Pranky,iCarly,iCarly Season 3 iGet Pranky,3,16-Dec-15,TRUE
iParty with Victorious Part 3,iCarly,iCarly Season 3 iParty with Victorious Part 3,3,15-Dec-15,TRUE
iParty with Victorious Part 2,iCarly,iCarly Season 3 iParty with Victorious Part 2,3,15-Dec-15,TRUE
iParty with Victorious Part 1,iCarly,iCarly Season 3 iParty with Victorious Part 1,3,15-Dec-15,TRUE
iOMG,iCarly,iCarly Season 3 iOMG,3,15-Dec-15,TRUE
iBust a Thief,iCarly,iCarly Season 5 iBust a Thief,5,13-Dec-15,TRUE
iLove You,iCarly,iCarly Season 4 iLove You,4,13-Dec-15,TRUE
iCan't Take it,iCarly,iCarly Season 4 iCan't Take it,4,13-Dec-15,TRUE
Bully Bust/ Backyard Hodge Podge,Phineas and Ferb,Phineas and Ferb Season 4 Bully Bust/ Backyard Hodge Podge,4,13-Dec-15,TRUE
iFind Spencer Friends,iCarly,iCarly Season 5 iFind Spencer Friends,5,13-Dec-15,TRUE
iShock America Part 2,iCarly,iCarly Season 5 iShock America Part 2,5,13-Dec-15,TRUE
iShock America Part 1,iCarly,iCarly Season 5 iShock America Part 1,5,13-Dec-15,TRUE
iRescue Carly,iCarly,iCarly Season 5 iRescue Carly,5,13-Dec-15,TRUE
,Eat Pray Love,Eat Pray Love,,12-Dec-15,FALSE
,The Heartbreak Kid,The Heartbreak Kid,,12-Dec-15,FALSE
,Love Is in the Air,Love Is in the Air,,12-Dec-15,FALSE
,Problem Child,Problem Child,,12-Dec-15,FALSE
,Problem Child 2,Problem Child 2,,11-Dec-15,FALSE
,"South Park Bigger, Longer and Uncut","South Park Bigger, Longer and Uncut",,11-Dec-15,FALSE
Episode 4,The Driver,The Driver Season 1 Episode 4,1,11-Dec-15,TRUE
Episode 3,The Driver,The Driver Season 1 Episode 3,1,11-Dec-15,TRUE
Episode 2,The Driver,The Driver Season 1 Episode 2,1,11-Dec-15,TRUE
Episode 1,The Driver,The Driver Season 1 Episode 1,1,11-Dec-15,TRUE
,Cleanskin,Cleanskin,,11-Dec-15,FALSE
Josh Runs Into Oprah,Drake & Josh,Drake & Josh Season 4 Josh Runs Into Oprah,4,10-Dec-15,TRUE
#Pilot,Sam & Cat,Sam & Cat Season 1 #Pilot,1,10-Dec-15,TRUE
#FavoriteShow,Sam & Cat,Sam & Cat Season 1 #FavoriteShow,1,10-Dec-15,TRUE
iMight Switch Schools,iCarly,iCarly Season 1 iMight Switch Schools,1,10-Dec-15,TRUE
iStakeout,iCarly,iCarly Season 1 iStakeout,1,10-Dec-15,TRUE
,WarGames The Dead Code,WarGames The Dead Code,,08-Dec-15,FALSE
,The Rum Diary,The Rum Diary,,07-Dec-15,FALSE
,One for the Road,One for the Road,,07-Dec-15,FALSE
,Surviving Summer,Surviving Summer,,07-Dec-15,FALSE
,The Switch,The Switch,,07-Dec-15,FALSE
,Uptown Girls,Uptown Girls,,05-Dec-15,FALSE
,Beauty Shop,Beauty Shop,,05-Dec-15,FALSE
Waterfalls,Moving Art,Moving Art Season 1 Waterfalls,1,05-Dec-15,TRUE
,Groundhog Day,Groundhog Day,,05-Dec-15,FALSE
,The Call,The Call,,05-Dec-15,FALSE
,Grave Encounters,Grave Encounters,,05-Dec-15,FALSE
,The Cold Light Of Day,The Cold Light Of Day,,04-Dec-15,FALSE
,La Educación Prohibida,La Educación Prohibida,,04-Dec-15,FALSE
,Agent Cody Banks 2 Destination London,Agent Cody Banks 2 Destination London,,04-Dec-15,FALSE
,The Spy Next Door,The Spy Next Door,,03-Dec-15,FALSE
Pilot,The Nanny,The Nanny Season 1 Pilot,1,03-Dec-15,TRUE
,Taxi,Taxi,,03-Dec-15,FALSE
,London Boulevard,London Boulevard,,03-Dec-15,FALSE
,The Imitation Game,The Imitation Game,,03-Dec-15,FALSE
Life of Brian,Family Guy,Family Guy Season 12 Life of Brian,12,30-nov.-15,TRUE
Boopa-Dee Bappa-Dee,Family Guy,Family Guy Season 12 Boopa-Dee Bappa-Dee,12,30-nov.-15,TRUE
A Fistful of Meg,Family Guy,Family Guy Season 12 A Fistful of Meg,12,30-nov.-15,TRUE
Quagmire's Quagmire,Family Guy,Family Guy Season 12 Quagmire's Quagmire,12,30-nov.-15,TRUE
,Office Space,Office Space,,29-nov.-15,FALSE
,Back in Time,Back in Time,,29-nov.-15,FALSE
,ONCE,ONCE,,29-nov.-15,FALSE
,Cairo Time,Cairo Time,,29-nov.-15,FALSE
,The Decoy Bride,The Decoy Bride,,29-nov.-15,FALSE
,The Perfect Man,The Perfect Man,,29-nov.-15,FALSE
,Carjacked,Carjacked,,29-nov.-15,FALSE
